Período,Região,Encargos SNS (Ambulatório),Encargos Utentes (Ambulatório),Valor PVP (Ambulatório),Encargos SNS (Genéricos) 
2011-02,Alentejo,5331347.879999999,2945829.7300000014,8277177.61,1336286.3
2011-02,Lisboa,36115541.96,21764862.109999985,57880404.069999985,7928466.289999998
2011-04,Lisboa,36171734.88,22178340.730000004,58350075.61000001,7550812.57
2011-05,Centro,30370569.959999993,17840459.490000002,48211029.449999996,6497343.209999999
2011-06,Alentejo,5945367.26,3354674.1399999987,9300041.399999999,1448161.8800000001
2011-06,Algarve,4320830.94,2756443.29,7077274.23,867793.25
2011-06,Norte,34650220.690000005,19368988.89999999,54019209.589999996,7915057.43
2011-10,Centro,28819816.059999995,17870137.080000013,46689953.14000001,5457863.140000001
2011-12,Centro,30540869.019999996,17488822.950000003,48029691.97,5990866.499999999
2012-01,Lisboa,36533541.03,24051737.060000002,60585278.09,6946226.850000001
2012-02,Alentejo,4915828.25,2997070.4300000006,7912898.680000001,1047905.83
2012-04,Lisboa,32970557.230000004,21024301.199999988,53994858.42999999,6080793.430000001
2012-05,Norte,31778875.24,18065140.81,49844016.05,6336848.26
2012-06,Algarve,3463120.35,2275655.6599999988,5738776.009999999,593185.6200000001
2012-07,Algarve,3680074.6799999997,2345848.95,6025923.63,578492.15
2012-07,Norte,28715135.41,16317512.669999998,45032648.08,5563196.41
2012-08,Alentejo,4630875.419999999,2483966.3000000007,7114841.72,929709.8500000002
2012-08,Algarve,3817314.5200000005,2283983.079999999,6101297.6,626833.6
2012-09,Centro,23649329.55000001,12520316.789999995,36169646.34,4413948.01
2013-01,Lisboa,32256734.59,20472094.24999998,52728828.83999998,6711139.77
2013-03,Algarve,3448372.5500000007,2122552.3999999985,5570924.949999999,644058.4299999999
2013-03,Lisboa,31357457.780000005,19271456.44,50628914.220000006,6718404.649999999
2013-06,Norte,28054718.89,15857707.810000002,43912426.7,6127647.820000001
2013-07,Centro,26380156.779999997,14833573.030000005,41213729.81,5363733.92
2013-08,Algarve,3967534.58,2440050.5699999994,6407585.149999999,733222.4699999999
2013-09,Centro,24378140.750000004,13920802.949999992,38298943.699999996,4940545.87
2013-11,Alentejo,4711649.89,2764070.530000001,7475720.420000001,1063656.48
2014-01,Alentejo,4960001.460000001,2864186.169999999,7824187.63,1155367.12
2014-01,Algarve,3874253.03,2374780.270000001,6249033.300000001,724497.35
2014-02,Alentejo,4477260.289999999,2573049.250000002,7050309.540000001,1029257.2000000001
2014-03,Alentejo,4732992.8100000005,2672743.2699999996,7405736.08,1100286.6199999999
2014-04,Norte,28760553.729999997,17080390.24000001,45840943.970000006,6458980.629999999
