ano,regiao,encargos_sns_ambulatorio,encargos_utentes_ambulatorio,valor_pvp_ambulatorio,encargos_sns_genericos ,encargos_sns_hospitalar
2011,Lisboa,457203585.27,288493671.57,745697256.84,94548513.77,485567548.60
2011,Centro,346430164.18,201611577.54,548041741.72,71541339.41,171870030.17
2011,Norte,404304468.08,235538931.08,639843399.16,88710753.61,316588295.61
2011,Algarve,50485107.94,33073322.74,83558430.68,9656519.65,38206815.78
2011,Alentejo,67576175.93,39854957.17,107431133.10,15652973.03,33221311.98
2012,Lisboa,403210773.43,245672931.61,648883705.04,77266190.35,476806875.17
2012,Centro,307317059.93,171242456.63,478559516.56,57777915.31,167428258.11
2012,Norte,360822749.67,204737050.46,565559800.13,72880062.71,302883202.02
2012,Algarve,44542305.39,28000941.09,72543246.48,7527450.55,38493966.53
2012,Alentejo,57182573.28,32913919.59,90096492.87,11823213.55,32329277.49
2013,Lisboa,405406185.91,252873445.38,658279631.29,85475393.04,450490139.77
2013,Centro,297713880.52,171051056.20,468764936.72,60494845.94,163647452.62
2013,Norte,356946822.51,205641194.33,562588016.84,78066022.43,292096279.18
2013,Algarve,44758749.94,27773615.63,72532365.57,8245475.25,36120581.54
2013,Alentejo,55393735.64,32144824.84,87538560.48,12485638.91,32462411.69
2014,Lisboa,408931364.76,257488983.79,666420348.55,89098243.27,427470244.89
2014,Centro,300115175.40,174498243.58,474613418.98,62399110.15,162453347.77
2014,Norte,360641074.42,210394483.15,571035557.57,81688206.92,301917904.83
2014,Algarve,44874568.07,27901983.36,72776551.43,8347939.01,35761564.75
2014,Alentejo,55790447.04,32407524.88,88197971.92,12931340.89,31793724.91
2015,Lisboa,412250439.07,259648483.85,671898922.92,90108311.20,466659097.50
2015,Centro,302962837.48,175737506.98,478700344.46,62407018.20,177547337.06
2015,Norte,365950859.15,213980774.80,579931633.95,82347114.89,318366405.81
2015,Algarve,45659088.54,28180040.26,73839128.80,8418020.34,38590914.71
2015,Alentejo,55356960.66,32229866.81,87586827.47,12782288.29,32546198.30
2016,Lisboa,413877221.98,254192733.56,668069955.54,90028759.60,492058174.51
2016,Centro,304675614.91,172004062.40,476679677.31,62733797.42,181563359.41
2016,Norte,369843051.07,212034855.23,581877906.30,82918806.89,336369352.30
2016,Algarve,46064612.96,27850821.87,73915434.83,8371107.97,37683515.75
2016,Alentejo,55359690.11,31204964.98,86564655.09,12732165.91,34082260.02
2017,Lisboa,419101131.79,253880331.27,672981463.06,92124035.36,512252257.61
2017,Centro,312767889.80,171602851.28,484370741.08,64768645.96,191365144.69
2017,Norte,378572267.36,214779815.80,593352083.16,85679869.96,360862124.96
2017,Algarve,46690147.04,28032532.76,74722679.80,8667695.09,39992002.02
2017,Alentejo,56381439.72,31295163.94,87676603.66,13086831.13,35703634.57
2018,Lisboa,436394022.36,259818996.75,696213019.11,98266892.46,533658912.76
2018,Centro,293108713.63,156720919.51,449829633.14,61707072.64,207319110.90
2018,Norte,415707332.16,231579890.82,647287222.98,95219150.81,388676889.96
2018,Algarve,48492587.79,28742446.87,77235034.66,9231492.69,42160508.28
2018,Alentejo,61210840.96,33521495.70,94732336.66,14811652.88,37898880.69
2019,Lisboa,438858835.96,253472891.37,692331727.33,96331189.34,571804850.89
2019,Centro,340301284.01,180078465.96,520379749.97,71072199.63,199693331.74
2019,Norte,433820171.34,235886074.81,669706246.15,96700205.99,383825956.35
2019,Algarve,51577962.83,29939870.77,81517833.60,9708533.72,41747205.91
2019,Alentejo,62645555.68,33269423.27,95914978.95,14834065.58,38559609.35
2020,Lisboa,460837256.09,259784169.41,720621425.50,100109653.18,544233818.12
2020,Centro,351862930.65,179754506.88,531617437.53,72599369.74,231042627.26
2020,Norte,431218412.96,227846764.21,659065177.17,94576012.14,448083869.92
2020,Algarve,53711653.10,30380280.30,84091933.40,10154845.38,34247347.06
2020,Alentejo,61743201.13,31958997.21,93702198.34,14450289.40,40201002.61
2021,Lisboa,482803590.15,270168246.93,752971837.08,103769048.97,452011684.53
2021,Centro,367407297.64,185899487.96,553306785.60,75465911.43,256565372.90
2021,Norte,459887870.73,240547161.53,700435033.26,99813146.03,519663135.63
2021,Algarve,57071305.60,31957964.26,89029269.86,10797113.63,34755706.75
