Período,Região,Encargos SNS (Hospitalar)
2011-02,Centro,13817577.66
2011-02,Lisboa,38689777.32999999
2011-03,Algarve,3512595.5300000003
2011-03,Norte,28726795.419999998
2011-04,Algarve,2998329.86
2011-04,Centro,13733672.35
2011-04,Norte,25400964.560000006
2011-07,Centro,13959358.040000001
2011-08,Centro,14542192.19
2011-09,Algarve,3068758.61
2011-09,Centro,14559712.32
2011-10,Alentejo,2745589.55
2011-12,Algarve,2554969.34
2011-12,Norte,25300854.92
2012-02,Algarve,3269509.8899999997
2012-02,Norte,25546165.19
2012-03,Algarve,2945164.75
2012-04,Lisboa,40209737.22
2012-04,Norte,24562566.820000004
2012-05,Norte,26621949.390000004
2012-11,Algarve,3030918.06
2012-11,Norte,25238853.840000004
2012-12,Lisboa,37692366.18
2013-01,Lisboa,41423750.339999996
2013-02,Lisboa,37668821.66
2013-03,Centro,14028973.700000001
2013-03,Norte,26163924.249999996
2013-04,Lisboa,40164544.11999999
2013-04,Norte,24639936.650000002
2013-05,Centro,14578267.070000002
2013-06,Norte,22553237.45
2013-07,Algarve,3253862.56
2013-08,Algarve,2917441.68
2013-09,Alentejo,2555214.56
2013-10,Norte,23255994.189999998
2013-12,Algarve,2874763.02
2014-02,Centro,12856983.170000006
2014-04,Algarve,2853604.0600000042
2014-04,Centro,13647513.109999994
2014-05,Centro,13657060.879999997
2014-05,Lisboa,36072101.74000001
2014-06,Norte,23942957.329999994
2014-10,Alentejo,2819407.6600000006
2014-11,Alentejo,2490642.7799999984
2014-11,Algarve,3062561.3500000006
2014-12,Lisboa,35089324.66000003
2015-01,Alentejo,2559295.96
2015-02,Lisboa,35348759.08000001
2015-02,Norte,25856672.24999998
2015-03,Algarve,3145135.179999999
2015-03,Lisboa,39492476.60999998
2015-04,Norte,27419838.99000001
2015-06,Algarve,3253788.980000001
2015-06,Norte,25330432.73999999
2015-08,Lisboa,36722357.930000015
2015-09,Centro,15308347.599999994
2015-09,Lisboa,37217650.73000002
2015-10,Lisboa,41303828.51000001
2015-11,Alentejo,2520911.929999999
2015-11,Lisboa,40129001.12999999
2015-12,Norte,26894430.11999999
2016-03,Norte,30308225.43
2016-04,Algarve,3015000.54
2016-05,Lisboa,41742571.49
2016-05,Algarve,3383681.36
2016-06,Norte,29357739.89
2016-07,Alentejo,2743037.65
2016-08,Alentejo,2845515.15
2016-11,Alentejo,2913405.77
2016-12,Centro,12192230.95
2017-01,Centro,16542680.34
2017-01,Alentejo,2960096.26
2017-02,Norte,29275444.92
2017-02,Lisboa,38753875.85
2017-03,Norte,35462266.76
2017-03,Algarve,4091530.5
2017-04,Centro,14314312.89
2017-07,Norte,30670397.19000002
2017-07,Algarve,2985170.430000001
2017-08,Centro,15900437.02999999
2017-08,Alentejo,2936120.370000009
2017-09,Norte,29984835.67000001
2017-09,Centro,15796803.20000003
2017-10,Norte,33483096.55
2017-10,Algarve,3312460.470000001
2017-11,Alentejo,3136174.519999998
2018-01,Algarve,4194094.05
2018-02,Algarve,3680633.97
2018-03,Algarve,3977551.31
2018-04,Norte,37286531.59
2018-05,Norte,26814848.99
2018-07,Centro,17699397.1
2018-07,Lisboa,47305740.89
2018-07,Alentejo,3288480.71
2018-09,Norte,35222421.78
2018-10,Norte,39560288.0299999
2018-10,Alentejo,3608137.84
2018-10,Algarve,3355352.88
2018-11,Centro,15900577.94
2019-03,Norte,36459754.1599999
2019-05,Centro,19794566.51
2019-05,Algarve,3968422.27
2019-06,Alentejo,2905364.44
2019-07,Norte,36507273.54
2019-07,Lisboa e Vale do Tejo,49796820.56
2019-08,Centro,17651327.06
2019-08,Alentejo,3079065.32
2019-10,Lisboa e Vale do Tejo,51465782.87
2019-11,Algarve,2105406.71
2019-12,Centro,15112420.150000045
2019-12,Norte,13557283.350000039
2020-02,Alentejo,3049174.289999998
2020-03,Norte,40992396.26999995
2020-04,Norte,37020507.000000164
2020-05,Algarve,2885472.9400000027
2020-08,Lisboa e Vale do Tejo,48142098.169999786
2020-09,Algarve,2370412.4999999995
2020-09,Norte,41178416.02999978
2020-10,Alentejo,3877761.1899999995
2020-10,Centro,21413262.4899999
2020-11,Norte,39741522.27
2021-01,Alentejo,3649562.08
2021-02,Algarve,2925348.05
2021-03,Algarve,3294961.539999999
2021-04,Alentejo,3593596.579999998
2021-05,Alentejo,3530339.39
2021-06,Lisboa e Vale do Tejo,55838224.7
2021-08,Norte,49331531.53999983
2021-09,Alentejo,3863549.94
2021-10,Centro,22198795.55
2022-02,Alentejo,3514627.68
2022-02,Algarve,2950436.14
2022-03,Alentejo,3953658.27
2022-03,Algarve,3584528.36
2022-03,Norte,56580381.48
2011-01,Algarve,3480241.41
2011-01,Norte,27976760.680000003
2011-04,Alentejo,2588288.71
2011-07,Alentejo,2676939.9
2011-08,Lisboa,39971260.99
2011-10,Algarve,2916400.13
2011-10,Lisboa,39599581.88
2011-10,Norte,26536575.160000004
2011-12,Alentejo,2662510.56
2012-01,Alentejo,2934224.39
2012-05,Lisboa,41921676.43
2012-08,Norte,26140427.869999997
2012-09,Centro,13101625.36
2012-09,Norte,23708183.1
2012-10,Centro,15001663.160000002
2012-12,Alentejo,2216212.48
2012-12,Centro,13007363.369999997
2013-01,Centro,14426059.350000001
2013-02,Norte,23700675.73
2013-03,Algarve,3144813.94
2013-05,Alentejo,3019200.59
2013-07,Alentejo,2849299.5599999996
2013-08,Centro,13208902.85
2013-09,Norte,22529447.740000006
2013-10,Lisboa,36969830.86
2013-11,Algarve,2544927.08
2013-11,Norte,24866523.55
2013-12,Alentejo,2491386.87
2013-12,Norte,20673018.64
2014-02,Lisboa,33479677.050000012
2014-03,Centro,13458686.279999997
2014-04,Alentejo,2550727.0000000014
2014-04,Lisboa,36617022.36999999
2014-04,Norte,27943621.17000001
2014-05,Algarve,3076235.3599999985
2014-05,Norte,25737917.760000013
2014-07,Alentejo,2778196.600000002
2014-09,Norte,24763745.80000001
2014-11,Centro,13160595.529999992
2014-11,Norte,22970187.63
2014-12,Alentejo,2829277.37
2014-12,Algarve,3052806.039999995
2015-01,Norte,28116454.87999999
2015-02,Algarve,2904452.7599999984
2015-03,Alentejo,2786330.2200000007
2015-04,Algarve,3276796.309999998
2015-05,Centro,14367558.26
2015-05,Norte,23653701.87999999
2015-07,Alentejo,2924576.640000001
2015-07,Lisboa,41570818.529999994
2015-08,Norte,26436038.459999986
2015-10,Norte,28851925.480000008
2015-11,Algarve,3261824.8600000003
2015-12,Alentejo,2727927.0999999996
2016-02,Norte,25977774.64
2016-02,Lisboa,41162149.08
2016-06,Alentejo,2890132.32
2016-06,Algarve,3254526.29
2016-08,Lisboa,41572112.52
2016-09,Lisboa,41144912.46
2016-10,Centro,14949508.18
2016-10,Lisboa,40870276.91
2016-10,Alentejo,2978732.0
2016-11,Norte,30480695.44
2017-01,Lisboa,44110794.87
2017-04,Lisboa,39485878.93
2017-06,Norte,33256015.77
2017-06,Alentejo,2883435.76
2017-07,Centro,15566907.17000001
2017-07,Alentejo,2946561.729999999
2017-08,Norte,34322235.73999998
2017-09,Lisboa,41394112.10000002
2017-10,Alentejo,3182784.970000002
2017-11,Norte,31919559.44000005
2017-11,Lisboa,44787144.11999998
2017-12,Centro,14193373.66
2017-12,Lisboa,41149254.5099999
2018-02,Norte,32363984.24
2018-03,Norte,34927747.93
2018-03,Lisboa,45004380.3199999
2018-06,Centro,18153526.54
2018-06,Lisboa,44575977.4999999
2018-08,Lisboa,45622058.64
2018-08,Algarve,4287196.45
2018-09,Alentejo,2962592.88
2018-12,Alentejo,3098571.75
2019-03,Centro,17916087.65
2019-03,Alentejo,3036979.78
2019-04,Lisboa e Vale do Tejo,47615139.83
2019-04,Alentejo,3075056.46
2019-07,Algarve,4052129.75
2019-08,Norte,38881992.53
2019-09,Norte,35545431.1
2019-10,Alentejo,3859915.77
2019-11,Centro,16936122.41
2019-11,Alentejo,3346038.75
2019-12,Alentejo,3170997.969999995
2020-01,Alentejo,3656859.7400000016
2020-01,Algarve,2966042.859999999
2020-02,Centro,18772677.039999995
2020-02,Lisboa e Vale do Tejo,47489450.260000065
2020-04,Alentejo,2937375.570000008
2020-05,Norte,34746638.489999875
2020-06,Algarve,2850344.990000002
2020-06,Lisboa e Vale do Tejo,48465398.38000001
2020-07,Algarve,2735356.0700000003
2020-07,Lisboa e Vale do Tejo,52453833.310000226
2020-07,Norte,43897830.130000055
2020-10,Algarve,2392467.2199999997
2020-12,Algarve,2264286.63
