ano,regiao,total,encargos_sns_hospitalar,valor_pvp_ambulatorio,encargos_sns_ambulatorio,encargos_utentes_ambulatorio,encargos_sns_genericos 
2011,LVT,1231264805.44,485567548.60,745697256.84,457203585.27,288493671.57,94548513.77
2011,Centro,719911771.89,171870030.17,548041741.72,346430164.18,201611577.54,71541339.41
2011,Norte,956431694.77,316588295.61,639843399.16,404304468.08,235538931.08,88710753.61
2011,Algarve,121765246.46,38206815.78,83558430.68,50485107.94,33073322.74,9656519.65
2011,Alentejo,140652445.08,33221311.98,107431133.10,67576175.93,39854957.17,15652973.03
2012,LVT,1125690580.21,476806875.17,648883705.04,403210773.43,245672931.61,77266190.35
2012,Centro,645987774.67,167428258.11,478559516.56,307317059.93,171242456.63,57777915.31
2012,Norte,868443002.15,302883202.02,565559800.13,360822749.67,204737050.46,72880062.71
2012,Algarve,111037213.01,38493966.53,72543246.48,44542305.39,28000941.09,7527450.55
2012,Alentejo,122425770.36,32329277.49,90096492.87,57182573.28,32913919.59,11823213.55
2013,LVT,1108769771.06,450490139.77,658279631.29,405406185.91,252873445.38,85475393.04
2013,Centro,632412389.34,163647452.62,468764936.72,297713880.52,171051056.20,60494845.94
2013,Norte,854684296.02,292096279.18,562588016.84,356946822.51,205641194.33,78066022.43
2013,Algarve,108652947.11,36120581.54,72532365.57,44758749.94,27773615.63,8245475.25
2013,Alentejo,120000972.17,32462411.69,87538560.48,55393735.64,32144824.84,12485638.91
2014,LVT,1093890593.44,427470244.89,666420348.55,408931364.76,257488983.79,89098243.27
2014,Centro,637066766.75,162453347.77,474613418.98,300115175.40,174498243.58,62399110.15
2014,Norte,872953462.40,301917904.83,571035557.57,360641074.42,210394483.15,81688206.92
2014,Algarve,108538116.18,35761564.75,72776551.43,44874568.07,27901983.36,8347939.01
2014,Alentejo,119991696.83,31793724.91,88197971.92,55790447.04,32407524.88,12931340.89
2015,LVT,1138558020.42,466659097.50,671898922.92,412250439.07,259648483.85,90108311.20
2015,Centro,656247681.52,177547337.06,478700344.46,302962837.48,175737506.98,62407018.20
2015,Norte,898298039.76,318366405.81,579931633.95,365950859.15,213980774.80,82347114.89
2015,Algarve,112430043.51,38590914.71,73839128.80,45659088.54,28180040.26,8418020.34
2015,Alentejo,120133025.77,32546198.30,87586827.47,55356960.66,32229866.81,12782288.29
2016,LVT,1160128130.05,492058174.51,668069955.54,413877221.98,254192733.56,90028759.60
2016,Centro,658243036.72,181563359.41,476679677.31,304675614.91,172004062.40,62733797.42
2016,Norte,918247258.60,336369352.30,581877906.30,369843051.07,212034855.23,82918806.89
2016,Algarve,111598950.58,37683515.75,73915434.83,46064612.96,27850821.87,8371107.97
2016,Alentejo,120646915.11,34082260.02,86564655.09,55359690.11,31204964.98,12732165.91
2017,LVT,1185233720.67,512252257.61,672981463.06,419101131.79,253880331.27,92124035.36
2017,Centro,675735885.77,191365144.69,484370741.08,312767889.80,171602851.28,64768645.96
2017,Norte,954214208.12,360862124.96,593352083.16,378572267.36,214779815.80,85679869.96
2017,Algarve,114714681.82,39992002.02,74722679.80,46690147.04,28032532.76,8667695.09
2017,Alentejo,123380238.23,35703634.57,87676603.66,56381439.72,31295163.94,13086831.13
2018,LVT,1229871931.87,533658912.76,696213019.11,436394022.36,259818996.75,98266892.46
2018,Centro,657148744.04,207319110.90,449829633.14,293108713.63,156720919.51,61707072.64
2018,Norte,1035964112.94,388676889.96,647287222.98,415707332.16,231579890.82,95219150.81
2018,Algarve,119395542.94,42160508.28,77235034.66,48492587.79,28742446.87,9231492.69
2018,Alentejo,132631217.35,37898880.69,94732336.66,61210840.96,33521495.70,14811652.88
2019,LVT,1264136578.22,571804850.89,692331727.33,438858835.96,253472891.37,96331189.34
2019,Centro,720073081.71,199693331.74,520379749.97,340301284.01,180078465.96,71072199.63
2019,Norte,1053532202.50,383825956.35,669706246.15,433820171.34,235886074.81,96700205.99
2019,Algarve,123265039.51,41747205.91,81517833.60,51577962.83,29939870.77,9708533.72
2019,Alentejo,134474588.30,38559609.35,95914978.95,62645555.68,33269423.27,14834065.58
2020,LVT,1264855243.62,544233818.12,720621425.50,460837256.09,259784169.41,100109653.18
2020,Centro,762660064.79,231042627.26,531617437.53,351862930.65,179754506.88,72599369.74
2020,Norte,1107149047.09,448083869.92,659065177.17,431218412.96,227846764.21,94576012.14
2020,Algarve,118339280.46,34247347.06,84091933.40,53711653.10,30380280.30,10154845.38
2020,Alentejo,133903200.95,40201002.61,93702198.34,61743201.13,31958997.21,14450289.40
2021,LVT,1204983521.61,452011684.53,752971837.08,482803590.15,270168246.93,103769048.97
2021,Centro,809872158.50,256565372.90,553306785.60,367407297.64,185899487.96,75465911.43
2021,Norte,1220098168.89,519663135.63,700435033.26,459887870.73,240547161.53,99813146.03
2021,Algarve,123784976.61,34755706.75,89029269.86,57071305.60,31957964.26,10797113.63
