Período,Região,Nº Receitas Eletrónicas Dispensadas,Nº Receitas Manuais Dispensadas,Valor Comparticipado pelo SNS
2014-02,Região de Saúde do Norte,2141421,100725,33947039.91
2014-02,Região de Saúde do Algarve,209535,12649,
2014-05,Região de Saúde LVT,2274756,116857,37829153.46
2014-05,Região de Saúde do Alentejo,338057,19022,5918273.39
2014-06,Região de Saúde do Algarve,212019,10544,
2014-07,Região de Saúde do Algarve,236879,13312,
2014-08,Região de Saúde do Algarve,223690,13262,
2014-09,Região de Saúde do Centro,1156219,48531,20235711.61
2014-11,Região de Saúde do Norte,2218970,94728,35232901.82
2014-11,Região de Saúde do Centro,1145561,48270,19807824.31
2014-11,Região de Saúde do Alentejo,317129,16764,5548227.71
2014-12,Região de Saúde do Norte,2262127,102422,36809812.67
2014-12,Região de Saúde do Centro,1191070,50081,20820790.9
2014-12,Região de Saúde LVT,2239243,126096,38192008.51
2014-12,Região de Saúde do Alentejo,325370,17007,5809648.65
2015-03,Região de Saúde do Alentejo,344203,18788,5867170.22
2015-03,Região de Saúde do Algarve,229191,12771,
2015-05,Região de Saúde do Norte,2223810,87773,35137385.47
2015-05,Região de Saúde do Centro,1172839,45156,19835526.71
2015-05,Região de Saúde do Algarve,226470,10961,
2015-06,Região de Saúde do Norte,2185743,83077,34820919.26
2015-07,Região de Saúde do Algarve,249928,12797,
2015-08,Região de Saúde do Centro,1118106,43815,19154975.18
2015-08,Região de Saúde do Algarve,238189,13720,
2015-09,Região de Saúde LVT,2173646,105498,36048555.87
2015-09,Região de Saúde do Alentejo,334646,15422,5659470.06
2015-09,Região de Saúde do Algarve,233798,11528,
2015-10,Região de Saúde do Alentejo,356435,15956,5876649.97
2015-11,Região de Saúde do Centro,1221919,49010,20207274.83
2015-12,Região de Saúde LVT,2364921,115181,38367715.4
2015-12,Região de Saúde do Algarve,239011,10703,4050567.28
2016-03,Região de Saúde LVT,2431846,120017,38805090.46
2016-04,Região de Saúde do Norte,2264620,99094,36494532.04
2016-05,Região de Saúde do Algarve,229770,13135,4052712.26
2016-07,Região de Saúde do Algarve,219029,17598,4167168.7
2016-08,Região de Saúde do Algarve,228156,16608,4234359.6
2016-10,Região de Saúde do Algarve,208916,13302,3996620.23
2016-10,Região de Saúde do Centro,1060627,48754,20819061.28
2016-10,Região de Saúde LVT,2044713,122383,37826631.84
2016-10,Região de Saúde do Norte,2059366,104005,37303063.39
2016-11,Região de Saúde do Centro,1058525,49772,21014195.97
2016-11,Região de Saúde do Algarve,208153,15180,4052859.76
2016-11,Região de Saúde do Norte,2036641,110775,37431204.6
2016-12,Região de Saúde do Alentejo,305671,18045,5714948.02
2016-12,Região de Saúde do Algarve,210565,13649,4023484.24
2016-12,Região de Saúde do Centro,1064052,48957,20790288.39
2016-12,Região de Saúde do Norte,2048788,114518,36964595.11
2017-01,Região de Saúde do Norte,2107381,103716,38139209.54
2017-01,Região de Saúde LVT,2061258,120540,38541469.39
2017-04,Região de Saúde do Norte,1833496,103067,34365243.49
2017-04,Região de Saúde do Centro,967433,48808,19320181.84
2017-06,Região de Saúde do Norte,1913375,98247,36773241.74
2017-07,Região de Saúde LVT,1926843,115079,39910990.16
2017-08,Região de Saúde do Algarve,227574,15150,4394502.43
2017-09,Região de Saúde LVT,1847019,107911,37541319.38
2017-12,Região de Saúde do Centro,1026433,46250,20919998.9
2018-01,Região de Saúde do Algarve,229193,12966,4315938.04
2018-03,Região de Saúde do Norte,2109925,99672,39976622.33
2018-04,Região de Saúde do Centro,1043559,45893,21290347.66
2018-06,ARS Centro,1074077,42161,22231750.53
2018-08,ARS Algarve,237079,14534,4533808.09
2018-08,ARS Centro,1038223,41576,21570651.08
