Período;Região;Valor PVP (Ambulatório);Unidades Dispensadas (Ambulatório);Valor PVP (Genéricos);Unidades Dispensadas (Genéricos);Quota Mercado Genéricos - Valor PVP;Quota Mercado Genéricos - Unidades dispensadas
2011-01;Lisboa;58846110.080000006;139113489;13340524.259999998;47132301;22.67;33.88
2011-02;Lisboa;57880404.069999985;136436176;13217098.75;47057337;22.84;34.49
2011-04;Alentejo;8292165.419999999;20157031;2113412.21;7355780;25.49;36.49
2011-04;Algarve;6369117.55;13686687;1412775.1600000001;4369653;22.18;31.93
2011-05;Alentejo;9629897.209999999;23012061;2432631.51;8469744;25.26;36.81
2011-05;Lisboa;66424539.71;155525609;14917546.98;55113790;22.46;35.44
2011-06;Centro;46303833.25;112031179;10493254.09;38040067;22.66;33.95
2011-06;Norte;54019209.589999996;130782798;13066249.909999996;48331142;24.19;36.96
2011-07;Centro;47980416.49999999;118233473;10771751.420000002;40708405;22.45;34.43
2011-09;Alentejo;8895980.060000002;21780071;2201041.5500000003;8438087;24.74;38.74
2011-09;Algarve;7034290.2700000005;15027178;1521280.5300000003;5124435;21.63;34.1
2012-02;Alentejo;7912898.680000001;20331448;1876982.23;8292995;23.72;40.79
2012-03;Algarve;6808736.510000001;15322570;1385269.81;5552695;20.35;36.24
2012-05;Centro;42102022.449999996;118385992;8750057.29;45702208;20.78;38.6
2012-06;Algarve;5738776.009999999;13710003;1093447.46;5155971;19.05;37.61
2012-07;Algarve;6025923.63;15152444;1106111.67;5688321;18.36;37.54
2012-08;Centro;38389750.099999994;116323894;7383826.1;46380234;19.23;39.87
2012-10;Alentejo;7528176.529999999;23038424;1581620.7300000002;10092974;21.01;43.81
2012-10;Lisboa;55427046.809999995;161673047;10860768.860000001;69176784;19.59;42.79
2012-11;Centro;37560794.54;114458805;7443041.680000001;47377624;19.82;41.39
2013-02;Centro;34978353.230000004;107308194;7405090.840000001;45700200;21.17;42.59
2013-03;Algarve;5570924.949999999;14792591;1119306.57;6125713;20.09;41.41
2013-04;Alentejo;7595508.85;23085579;1770475.94;10515407;23.31;45.55
2013-04;Lisboa;58222422.849999994;170349069;12773317.239999998;75793702;21.94;44.49
2013-07;Alentejo;7720477.13;23909599;1895242.1099999999;11107398;24.55;46.46
2013-11;Alentejo;7475720.420000001;22916665;1862358.2200000002;10735161;24.91;46.84
2013-11;Centro;40223003.589999996;121717680;9051442.29;53064243;22.5;43.6
2014-02;Algarve;5706513.819999998;15328877;1203825.4999999998;6419666;21.1;41.88
2014-02;Centro;37501725.18000001;115440559;8605974.830000002;50614514;22.95;43.84
2014-02;Lisboa;54056737.510000005;161767477;12792609.73;73695043;23.67;45.56
2014-03;Centro;39439177.470000006;121487430;9133328.399999999;53966050;23.16;44.42
2014-05;Alentejo;7706768.430000001;24122541;1985593.71;11626908;25.76;48.2
2014-07;Algarve;6533261.550000001;17926474;1393134.71;7635336;21.32;42.59
2014-07;Centro;41153224.28999999;128595817;9592521.6;57598138;23.31;44.79
2014-08;Algarve;6121416.160000001;16692895;1302050.5000000002;7111182;21.27;42.6
2014-10;Algarve;6282747.0200000005;16911945;1315296.8000000003;7250688;20.94;42.87
2014-11;Centro;38955098.00000001;119954432;8990430.269999998;54369427;23.08;45.33
2014-12;Alentejo;7415007.709999998;23272747;1913514.1099999999;11378493;25.81;48.89
2014-12;Algarve;6080331.729999999;16346755;1281343.33;7039219;21.07;43.06
2015-01;Norte;50427075.980000004;157558636;12919592.730000004;76469370;25.62;48.53
2015-04;Alentejo;7336848.250000001;23213562;1894109.0199999998;11258380;25.82;48.5
2015-04;Centro;39555801.970000006;122416539;9179153.1;55306050;23.21;45.18
2015-05;Alentejo;7216634.149999999;22730964;1860989.74;11013818;25.79;48.45
2015-05;Norte;47067321.56;149717524;12025281.67;72803478;25.55;48.63
2015-06;Algarve;6059679.89;16473150;1278117.31;7039577;21.09;42.73
2015-06;Lisboa;54959991.580000006;166877861;13390879.059999997;78055245;24.36;46.77
