periodo;regiao;encargos_sns_ambulatorio;encargos_utentes_ambulatorio;valor_pvp_ambulatorio;encargos_sns_genericos ;encargos_sns_hospitalar
2011-02;Alentejo;5331347,88;2945829,73;8277177,61;1336286,30;2705067,03
2011-02;Lisboa;36115541,96;21764862,11;57880404,07;7928466,29;38689777,33
2011-04;Lisboa;36171734,88;22178340,73;58350075,61;7550812,57;39670207,77
2011-05;Centro;30370569,96;17840459,49;48211029,45;6497343,21;14960277,73
2011-06;Alentejo;5945367,26;3354674,14;9300041,40;1448161,88;2809763,96
2011-06;Algarve;4320830,94;2756443,29;7077274,23;867793,25;3413789,58
2011-06;Norte;34650220,69;19368988,90;54019209,59;7915057,43;25346502,94
2011-10;Centro;28819816,06;17870137,08;46689953,14;5457863,14;13251299,32
2011-12;Centro;30540869,02;17488822,95;48029691,97;5990866,50;13905193,84
2012-01;Lisboa;36533541,03;24051737,06;60585278,09;6946226,85;40044250,47
2012-02;Alentejo;4915828,25;2997070,43;7912898,68;1047905,83;2727153,67
2012-04;Lisboa;32970557,23;21024301,20;53994858,43;6080793,43;40209737,22
2012-05;Norte;31778875,24;18065140,81;49844016,05;6336848,26;26621949,39
2012-06;Algarve;3463120,35;2275655,66;5738776,01;593185,62;3204407,93
2012-07;Algarve;3680074,68;2345848,95;6025923,63;578492,15;3088001,23
2012-07;Norte;28715135,41;16317512,67;45032648,08;5563196,41;25885700,76
2012-08;Alentejo;4630875,42;2483966,30;7114841,72;929709,85;2756917,10
2012-08;Algarve;3817314,52;2283983,08;6101297,60;626833,60;3885766,68
2012-09;Centro;23649329,55;12520316,79;36169646,34;4413948,01;13101625,36
2013-01;Lisboa;32256734,59;20472094,25;52728828,84;6711139,77;41423750,34
2013-03;Algarve;3448372,55;2122552,40;5570924,95;644058,43;3144813,94
2013-03;Lisboa;31357457,78;19271456,44;50628914,22;6718404,65;40543094,49
2013-06;Norte;28054718,89;15857707,81;43912426,70;6127647,82;22553237,45
2013-07;Centro;26380156,78;14833573,03;41213729,81;5363733,92;14448528,46
2013-08;Algarve;3967534,58;2440050,57;6407585,15;733222,47;2917441,68
2013-09;Centro;24378140,75;13920802,95;38298943,70;4940545,87;13107715,99
2013-11;Alentejo;4711649,89;2764070,53;7475720,42;1063656,48;2568156,61
2014-01;Alentejo;4960001,46;2864186,17;7824187,63;1155367,12;2685929,24
2014-01;Algarve;3874253,03;2374780,27;6249033,30;724497,35;2634824,48
2014-02;Alentejo;4477260,29;2573049,25;7050309,54;1029257,20;2536946,61
2014-03;Alentejo;4732992,81;2672743,27;7405736,08;1100286,62;2608181,38
2014-04;Norte;28760553,73;17080390,24;45840943,97;6458980,63;27943621,17
2014-07;Lisboa;35800918,64;22729668,65;58530587,29;7851176,90;38097723,64
2014-08;Alentejo;4314169,40;2504898,61;6819068,01;1009955,70;2484426,37
2014-09;Algarve;3793211,52;2364420,22;6157631,74;706857,12;3056358,49
2014-09;Norte;29859460,02;17353944,64;47213404,66;6870375,17;24763745,80
2014-12;Alentejo;4712879,03;2702128,68;7415007,71;1096997,88;2829277,37
2014-12;Algarve;3781047,44;2299284,29;6080331,73;698240,05;3052806,04
2014-12;Centro;25815612,48;14830672,12;40646284,60;5341717,87;13234272,59
2015-01;Alentejo;4745849,87;2828717,44;7574567,31;1093475,85;2559295,96
2015-02;Centro;23813875,54;13869292,59;37683168,13;4841392,74;13108796,00
2015-04;Centro;25024864,62;14531733,32;39556597,94;5017200,18;15040847,29
2015-10;Lisboa;36095330,18;23163257,54;59258587,72;7913197,99;41303828,51
2015-11;Lisboa;34429050,49;21747200,79;56176251,28;7553445,04;40129001,13
2016-02;Centro;24524703,00;14067851,00;38592554,00;5100738,49;14872486,46
2016-04;Centro;25150512,24;14174316,71;39324828,95;5233069,43;14901554,42
2016-07;Algarve;3965005,15;2375095,54;6340100,69;716809,72;3435814,32
2016-08;Norte;29433181,47;16357611,27;45790792,74;6599161,61;29075272,50
2016-10;Centro;25901680,77;14767333,47;40669014,24;5264229,74;14949508,18
2016-10;Algarve;3807787,61;2315604,11;6123391,72;676967,49;2448552,82
2016-11;Norte;31876177,32;18430000,18;50306177,50;7031226,39;30480695,44
2016-11;Centro;26151113,48;14788067,22;40939180,70;5295328,58;17289773,06
2017-01;Lisboa;35853339,89;22170791,75;58024131,64;7677118,54;44110794,87
2017-04;Centro;23942097,75;13195634,93;37137732,68;4977323,10;14314312,89
2017-04;Alentejo;4382296,58;2461334,92;6843631,50;1016929,63;2826842,17
2017-04;Algarve;3659101,22;2194828,94;5853930,16;680279,84;3516473,45
2017-05;Centro;27008591,02;14735923,73;41744514,75;5679595,74;15897344,43
2017-05;Lisboa;36560192,94;22063959,98;58624152,92;8125714,19;44752627,36
2017-06;Alentejo;4702784,09;2561642,32;7264426,41;1104596,19;2883435,76
2017-07;Norte;32037456,51;17955013,73;49992470,24;7324865,74;30670397,19
2017-07;Algarve;4038299,47;2442193,68;6480493,15;754023,87;2985170,43
2017-08;Alentejo;4605517,27;2506643,98;7112161,25;1083770,90;2936120,37
2017-08;Algarve;4108232,67;2465333,82;6573566,49;767302,74;3698077,13
2018-01;Alentejo;4934236,57;2751751,28;7685987,85;1188602,09;3023823,99
2018-02;Norte;34039507,62;19209038,00;53248545,62;7850948,66;32363984,24
2018-02;Algarve;3664678,11;2177428,37;5842106,48;704350,97;3680633,97
2018-03;Norte;33443775,21;18608580,82;52052356,03;7706979,21;34927747,93
2018-05;Lisboa;36700841,05;21937666,22;58638507,27;8217655,65;45202269,20
2018-07;Centro;27873353,23;14864107,55;42737460,78;5902661,84;17699397,10
2018-10;Centro;22124568,75;11820831,09;33945399,84;4607595,51;18504893,35
2019-02;Alentejo;5461891,54;2950364,80;8412256,34;1300239,89;3007031,51
2019-04;Norte;33676730,24;18347069,14;52023799,38;7561882,88;37151577,89
2019-04;Centro;27471486,74;14379295,11;41850781,85;5757842,05;19352534,27
2019-05;Centro;22610541,45;11665209,86;34275751,31;4668000,22;19794566,51
2019-05;Algarve;4365069,91;2519657,78;6884727,69;827694,73;3968422,27
2019-06;Centro;26603101,69;13811041,08;40414142,77;5549702,65;17411923,66
2019-06;Lisboa;35313877,39;20285196,70;55599074,09;7828898,68;0,00
2019-06;Alentejo;4704815,10;2498574,38;7203389,48;1120024,08;2905364,44
2019-07;Norte;37478629,01;20012363,15;57490992,16;8396197,31;36507273,54
2019-08;Lisboa;34724137,85;19484959,13;54209096,98;7678489,69;0,00
2019-08;Alentejo;4834858,88;2536725,67;7371584,55;1141751,21;3079065,32
2019-08;Algarve;4514534,03;2615751,37;7130285,40;843884,75;3521525,24
2019-09;Norte;33682518,62;18115096,93;51797615,55;7483066,83;35545431,10
