Período,Região,Grupo Terapêutico,Encargos SNS (Ambulatório)
2011-01,Algarve,Aparelho cardiovascular,1179329.59
2011-01,Centro,Aparelho cardiovascular,8217544.29
2011-01,Algarve,Aparelho digestivo,226145.65
2011-01,Lisboa,Aparelho locomotor,2316848.33
2011-01,Alentejo,Aparelho respiratório,272999.31999999995
2011-01,Norte,Aparelho respiratório,2176605.94
2011-01,Algarve,Correctivos da volémia e das alterações electrolíticas,119.41
2011-01,Norte,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5043396.649999999
2011-01,Lisboa,Medicamentos anti-infecciosos,2395317.31
2011-01,Norte,Medicamentos anti-infecciosos,2182260.75
2011-01,Lisboa,Medicamentos usados em afecções cutâneas,258034.55000000002
2011-01,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,170682.56999999998
2011-01,Norte,Medicamentos usados em afecções otorrinolaringológicas,84360.69
2011-01,Alentejo,Medicamentos usados no tratamento de intoxicações,699.93
2011-01,Norte,Medicamentos usados no tratamento de intoxicações,1558.63
2011-01,Centro,Sangue,1220944.94
2011-01,Lisboa,Sangue,1443003.09
2011-01,Alentejo,Sistema nervoso central,1204208.75
2011-01,Centro,Vacinas e imunoglobulinas,15348.75
2011-02,Centro,Aparelho cardiovascular,8182777.140000001
2011-02,Norte,Aparelho digestivo,1773978.26
2011-02,Centro,Aparelho geniturinário,517194.32999999996
2011-02,Centro,Aparelho locomotor,1894497.6
2011-02,Alentejo,Aparelho respiratório,262850.13
2011-02,Lisboa,Aparelho respiratório,2290710.92
2011-02,Alentejo,Correctivos da volémia e das alterações electrolíticas,121.59
2011-02,Algarve,Correctivos da volémia e das alterações electrolíticas,114.54
2011-02,Centro,Correctivos da volémia e das alterações electrolíticas,2185.68
2011-02,Lisboa,Correctivos da volémia e das alterações electrolíticas,2992.09
2011-02,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,4864113.47
2011-02,Centro,Medicação antialérgica,111398.99
2011-02,Algarve,Medicamentos anti-infecciosos,240421.15000000002
2011-02,Algarve,Medicamentos antineoplásicos e imunomoduladores,18265.57
2011-02,Algarve,Medicamentos usados em afecções cutâneas,26818.48
2011-02,Alentejo,Medicamentos usados em afecções oculares,101124.20000000001
2011-02,Centro,Medicamentos usados em afecções oculares,630631.26
2011-02,Norte,Medicamentos usados em afecções oculares,544795.63
2011-02,Algarve,Medicamentos usados em afecções otorrinolaringológicas,13006.09
2011-02,Alentejo,Medicamentos usados no tratamento de intoxicações,401.3
2011-02,Algarve,Medicamentos usados no tratamento de intoxicações,619.52
2011-02,Centro,Nutrição e metabolismo,42154.12
2011-02,Centro,Sistema nervoso central,5668550.26
2011-02,Lisboa,Vacinas e imunoglobulinas,26958.79
2011-02,Norte,Vacinas e imunoglobulinas,22867.21
2011-03,Norte,Aparelho cardiovascular,10231778.379999999
2011-03,Alentejo,Aparelho geniturinário,104688.95999999999
2011-03,Norte,Aparelho geniturinário,598881.13
2011-03,Centro,Aparelho locomotor,2138326.98
2011-03,Alentejo,Aparelho respiratório,296277.2
2011-03,Norte,Aparelho respiratório,2317937.14
2011-03,Norte,Correctivos da volémia e das alterações electrolíticas,1478.63
2011-03,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5436643.95
2011-03,Centro,Medicamentos anti-infecciosos,1412657.75
2011-03,Centro,Medicamentos antineoplásicos e imunomoduladores,173059.22999999998
2011-03,Norte,Medicamentos usados em afecções cutâneas,286789.9
2011-03,Algarve,Medicamentos usados em afecções otorrinolaringológicas,14319.119999999999
2011-03,Centro,Medicamentos usados no tratamento de intoxicações,3025.02
2011-03,Centro,Sangue,1404745.31
2011-03,Lisboa,Sangue,1637238.51
2011-03,Algarve,Vacinas e imunoglobulinas,1969.04
2011-03,Centro,Vacinas e imunoglobulinas,17748.33
2011-04,Lisboa,Aparelho cardiovascular,10730967.98
2011-04,Norte,Aparelho cardiovascular,9068206.540000001
2011-04,Algarve,Correctivos da volémia e das alterações electrolíticas,142.74
2011-04,Alentejo,Medicação antialérgica,29388.62
2011-04,Algarve,Medicação antialérgica,20366.3
2011-04,Norte,Medicação antialérgica,150071.27
2011-04,Centro,Medicamentos anti-infecciosos,1174110.21
2011-04,Alentejo,Medicamentos antineoplásicos e imunomoduladores,20633.52
2011-04,Norte,Medicamentos antineoplásicos e imunomoduladores,247149.43
2011-04,Alentejo,Medicamentos usados em afecções oculares,101642.98000000001
2011-04,Algarve,Medicamentos usados em afecções oculares,69244.12000000001
2011-04,Lisboa,Medicamentos usados em afecções oculares,886731.64
2011-04,Alentejo,Medicamentos usados em afecções otorrinolaringológicas,13951.36
2011-04,Norte,Medicamentos usados em afecções otorrinolaringológicas,83192.74
2011-04,Algarve,Medicamentos usados no tratamento de intoxicações,734.26
2011-04,Alentejo,Nutrição e metabolismo,8084.3
2011-04,Algarve,Nutrição e metabolismo,5581.94
2011-04,Norte,Nutrição e metabolismo,56754.37
2011-04,Alentejo,Vacinas e imunoglobulinas,1318.02
2011-05,Alentejo,Aparelho digestivo,310133.78
2011-05,Centro,Aparelho geniturinário,589181.3300000001
2011-05,Centro,Aparelho locomotor,2137447.24
2011-05,Norte,Aparelho locomotor,2466325.01
2011-05,Centro,Aparelho respiratório,1616917.36
2011-05,Norte,Aparelho respiratório,2210631.77
2011-05,Alentejo,Correctivos da volémia e das alterações electrolíticas,284.44
2011-05,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5741132.43
2011-05,Centro,Material de penso, hemostáticos locais, gases medicinais e outros produtos,0.0
2011-05,Alentejo,Medicação antialérgica,32699.09
2011-05,Lisboa,Medicação antialérgica,232932.65999999997
2011-05,Algarve,Medicamentos anti-infecciosos,207707.41
2011-05,Norte,Medicamentos anti-infecciosos,1605678.4100000001
2011-05,Lisboa,Medicamentos antineoplásicos e imunomoduladores,280985.75
2011-05,Algarve,Medicamentos usados em afecções oculares,82119.88
2011-05,Norte,Medicamentos usados em afecções oculares,652583.62
2011-05,Algarve,Medicamentos usados em afecções otorrinolaringológicas,13307.460000000001
2011-05,Centro,Medicamentos usados no tratamento de intoxicações,3572.93
2011-05,Centro,Nutrição e metabolismo,51172.74
2011-05,Alentejo,Sangue,304394.0
2011-05,Centro,Sangue,1407298.0699999998
2011-05,Lisboa,Sangue,1637060.75
2011-05,Centro,Sistema nervoso central,6600982.32
2011-05,Algarve,Vacinas e imunoglobulinas,1811.09
2011-06,Algarve,Aparelho cardiovascular,1332261.63
2011-06,Alentejo,Aparelho digestivo,309253.27999999997
2011-06,Algarve,Aparelho respiratório,200142.91
2011-06,Centro,Aparelho respiratório,1490849.9700000002
2011-06,Lisboa,Hormonas e medicamentos usados no tratamento das doenças endócrinas,5690854.25
2011-06,Alentejo,Medicamentos antineoplásicos e imunomoduladores,24389.57
2011-06,Algarve,Medicamentos antineoplásicos e imunomoduladores,20257.97
2011-06,Centro,Medicamentos usados em afecções cutâneas,206772.93
2011-06,Lisboa,Medicamentos usados em afecções cutâneas,312772.82
2011-06,Lisboa,Medicamentos usados em afecções oculares,995323.5800000001
2011-06,Algarve,Medicamentos usados em afecções otorrinolaringológicas,8638.140000000001
2011-06,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,125770.47
2011-06,Norte,Medicamentos usados em afecções otorrinolaringológicas,64338.67
2011-06,Centro,Medicamentos usados no tratamento de intoxicações,3399.21
2011-06,Lisboa,Meios de diagnóstico,0.0
2011-06,Alentejo,Nutrição e metabolismo,9446.01
2011-06,Algarve,Sangue,174619.5
2011-06,Alentejo,Sistema nervoso central,1483157.78
2011-06,Centro,Sistema nervoso central,6615277.11
2011-06,Norte,Sistema nervoso central,7502873.25
2011-07,Lisboa,Aparelho cardiovascular,12193117.47
2011-07,Algarve,Aparelho digestivo,201321.72
2011-07,Lisboa,Aparelho geniturinário,643383.67
2011-07,Centro,Aparelho locomotor,2128779.21
2011-07,Norte,Aparelho locomotor,2418770.33
2011-07,Norte,Aparelho respiratório,2099582.26
2011-07,Alentejo,Correctivos da volémia e das alterações electrolíticas,306.45
2011-07,Algarve,Correctivos da volémia e das alterações electrolíticas,102.37
2011-07,Norte,Correctivos da volémia e das alterações electrolíticas,1691.55
2011-07,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,767615.0
2011-07,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,4809158.199999999
2011-07,Centro,Medicamentos anti-infecciosos,1093906.26
2011-07,Norte,Medicamentos anti-infecciosos,1436699.96
2011-07,Algarve,Medicamentos antineoplásicos e imunomoduladores,26984.61
2011-07,Norte,Medicamentos usados em afecções cutâneas,302783.08
2011-07,Alentejo,Medicamentos usados em afecções otorrinolaringológicas,8944.58
2011-07,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,116173.70999999999
2011-07,Norte,Nutrição e metabolismo,58898.31
2011-07,Alentejo,Sangue,266231.63
2011-07,Norte,Sangue,1346908.37
2011-07,Norte,Sistema nervoso central,7625005.619999999
2011-07,Norte,Vacinas e imunoglobulinas,30082.97
2011-08,Lisboa,Aparelho cardiovascular,10439439.04
2011-08,Lisboa,Aparelho digestivo,1457952.78
2011-08,Algarve,Aparelho locomotor,310122.6
2011-08,Algarve,Correctivos da volémia e das alterações electrolíticas,201.06
2011-08,Norte,Correctivos da volémia e das alterações electrolíticas,1398.56
2011-08,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,753167.87
2011-08,Centro,Medicação antialérgica,83933.68999999999
2011-08,Lisboa,Medicação antialérgica,132424.81
2011-08,Norte,Medicação antialérgica,102639.45
2011-08,Lisboa,Medicamentos anti-infecciosos,1329287.9700000002
2011-08,Lisboa,Medicamentos antineoplásicos e imunomoduladores,242643.52
2011-08,Lisboa,Medicamentos usados em afecções otorrinolaringológicas,86664.62999999999
2011-08,Algarve,Nutrição e metabolismo,6180.59
2011-08,Lisboa,Sangue,1281673.46
2011-08,Algarve,Sistema nervoso central,952209.56
2011-08,Centro,Vacinas e imunoglobulinas,18555.45
2011-08,Norte,Vacinas e imunoglobulinas,27179.71
2011-09,Algarve,Aparelho cardiovascular,1283745.76
2011-09,Centro,Aparelho cardiovascular,9055241.88
2011-09,Lisboa,Aparelho cardiovascular,10931716.79
2011-09,Lisboa,Aparelho digestivo,1582856.9500000002
2011-09,Alentejo,Aparelho geniturinário,101212.44
2011-09,Centro,Aparelho geniturinário,599369.14
2011-09,Norte,Aparelho locomotor,2232585.68
2011-09,Alentejo,Aparelho respiratório,265585.54
2011-09,Algarve,Hormonas e medicamentos usados no tratamento das doenças endócrinas,712582.4400000001
2011-09,Centro,Hormonas e medicamentos usados no tratamento das doenças endócrinas,4708226.21
2011-09,Norte,Medicação antialérgica,120046.72
2011-09,Algarve,Medicamentos anti-infecciosos,181827.04
2011-09,Alentejo,Medicamentos antineoplásicos e imunomoduladores,26519.72
2011-09,Algarve,Medicamentos antineoplásicos e imunomoduladores,22512.67
2011-09,Centro,Medicamentos antineoplásicos e imunomoduladores,176571.38
2011-09,Centro,Medicamentos usados em afecções cutâneas,198933.00999999998
2011-09,Centro,Medicamentos usados em afecções oculares,745807.73
2011-09,Norte,Medicamentos usados em afecções oculares,625908.3600000001
2011-09,Algarve,Medicamentos usados em afecções otorrinolaringológicas,9331.09
2011-09,Norte,Medicamentos usados em afecções otorrinolaringológicas,68926.95
2011-09,Alentejo,Medicamentos usados no tratamento de intoxicações,233.19
2011-09,Algarve,Medicamentos usados no tratamento de intoxicações,885.17
2011-09,Alentejo,Nutrição e metabolismo,8303.64
2011-09,Centro,Nutrição e metabolismo,46493.52
2011-09,Lisboa,Nutrição e metabolismo,61857.13
2011-09,Lisboa,Sistema nervoso central,8789724.58
2011-09,Norte,Sistema nervoso central,7265526.68
2011-09,Alentejo,Vacinas e imunoglobulinas,3735.57
2011-09,Algarve,Vacinas e imunoglobulinas,4237.07
2011-10,Alentejo,Aparelho digestivo,217571.9
2011-10,Algarve,Aparelho digestivo,159497.37
2011-10,Centro,Aparelho digestivo,1061527.01
2011-10,Algarve,Aparelho respiratório,212209.66999999998
2011-10,Norte,Correctivos da volémia e das alterações electrolíticas,1642.18
2011-10,Centro,Medicação antialérgica,96833.05
2011-10,Alentejo,Medicamentos anti-infecciosos,181462.99
2011-10,Algarve,Medicamentos anti-infecciosos,172663.62
2011-10,Norte,Medicamentos anti-infecciosos,1420975.79
