Período;ARS;Hospital;Localização Geográfica;DCI;Grupo Hospital;Valor Biossimilar;Valor Não Biossimilar;Quota Biossimilar
2019-05;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Somatropina;Grupo E;115.0;144.0;44.4015444015444
2019-05;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;Trastuzumab;Grupo E;90.0;130.0;40.909090909090914
2019-05;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;Trastuzumab;Grupo E;20.0;80.0;20.0
2019-05;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768,-9.1634516;Enoxaparina sódica;Grupo F;3300.0;0.0;100.0
2019-05;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642,-8.6062881;Epoetina;Grupo F;0.0;120.0;0.0
2019-05;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;Enoxaparina sódica;Psiquiátricos;204.0;0.0;100.0
2019-06;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984,-8.4802503;Adalimumab;Grupo B;0.0;42.0;0.0
2019-06;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234,-8.6171561;Adalimumab;Grupo B;0.0;30.0;0.0
2019-06;Norte;Centro Hospitalar Povoa de Varzim / Vila do Conde;41.3828711,-8.7589945;Enoxaparina sódica;Grupo B;1740.0;0.0;100.0
2019-06;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Etanercept;Grupo B;0.0;88.0;0.0
2019-06;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;Infliximab;Grupo B;0.0;5.0;0.0
2019-06;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897,-8.8586755;Infliximab;Grupo B;60.0;25.0;70.58823529411765
2019-06;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263,-7.4981271;Infliximab;Grupo B;20.0;0.0;100.0
2019-06;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916,-7.2734793;Rituximab;Grupo B;4.0;0.0;100.0
2019-06;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Adalimumab;Grupo C;0.0;180.0;0.0
2019-06;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Adalimumab;Grupo C;0.0;12.0;0.0
2019-06;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Enoxaparina sódica;Grupo C;3660.0;0.0;100.0
2019-06;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946,-8.6937515;Enoxaparina sódica;Grupo C;7254.0;0.0;100.0
2019-06;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054,-8.8252713;Epoetina;Grupo C;-2.0;0.0;0.0
2019-06;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Etanercept;Grupo C;0.0;8.0;0.0
2019-06;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Etanercept;Grupo C;152.0;332.0;31.40495867768595
2019-06;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;Etanercept;Grupo C;0.0;68.0;0.0
2019-06;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;Etanercept;Grupo C;72.0;160.0;31.03448275862069
2019-06;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;Etanercept;Grupo C;20.0;28.0;41.66666666666667
2019-06;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425,-7.4263845;Filgrastim;Grupo C;70.0;0.0;100.0
2019-06;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;Infliximab;Grupo C;68.0;0.0;100.0
2019-06;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884,-8.5458794;Rituximab;Grupo C;30.0;0.0;100.0
2019-06;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;Rituximab;Grupo C;0.0;2.0;0.0
2019-06;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072,-8.5404429;Rituximab;Grupo C;18.0;14.0;56.25
2019-06;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456,-8.6745115;Somatropina;Grupo C;24.0;92.0;20.689655172413794
2019-06;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;Adalimumab;Grupo D;0.0;240.0;0.0
2019-06;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Adalimumab;Grupo D;0.0;320.0;0.0
2019-06;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;Etanercept;Grupo D;240.0;164.0;59.4059405940594
