Período,Região,Valor PVP (Ambulatório),Nº Embalagens (Ambulatório),Preço Médio por Embalagem (Ambulatório),Valor PVP (Genéricos),Nº Embalagens (Genéricos),Preço Médio por Embalagem (Genéricos)
2011-01,Alentejo,8407221.91,560492,14.999717944234709,2187532.16,168551,12.97845850810734
2011-01,Algarve,6321402.15,395084,16.00014718389001,1436135.96,104519,13.74042958696505
2011-01,Lisboa,58846110.080000006,3987595,14.757293576704757,13340524.259999998,1120887,11.901756608828542
2011-02,Alentejo,8277177.61,543203,15.237724405056674,2149086.22,165151,13.01285623459743
2011-03,Alentejo,9255034.53,600621,15.409109122058668,2398158.4600000004,184774,12.978873975775816
2011-04,Lisboa,58350075.61000001,3809054,15.318784036666324,13115124.7,1105372,11.864896794925146
2011-04,Norte,49774192.32000001,3359645,14.815313022655669,11995957.37,1007665,11.904707784829283
2011-06,Alentejo,9300041.399999999,585958,15.871515364582441,2348128.21,185434,12.662878490460217
2011-08,Norte,50638430.19,3375183,15.003165810564937,12183022.02,1111166,10.964178187597533
2011-09,Lisboa,60577956.02,3892287,15.563589226590949,13478379.739999995,1252237,10.763441537025335
2011-10,Lisboa,62721630.26,4232741,14.818206514407567,13381287.450000001,1285476,10.409597262025896
2011-11,Centro,45819270.919999994,3043900,15.052817411872924,10076826.81,941081,10.707714649429752
2011-11,Norte,53363149.57,3696743,14.435179716307031,12438535.899999999,1227067,10.136802554383745
2011-12,Lisboa,66925799.57000001,4347025,15.39577057182786,14451773.420000004,1423055,10.15545669000847
2011-12,Norte,57074587.500000015,3879526,14.71174249122187,13286768.000000002,1318058,10.080563981251206
2012-01,Alentejo,8640514.250000002,575687,15.009048753923576,2078240.7000000004,201815,10.297751405990637
2012-02,Norte,49912513.3,3670468,13.598405789125527,11534036.949999997,1272085,9.067033217119922
2012-03,Centro,44383666.17000001,3124395,14.20552336372322,9554017.16,1027953,9.29421594177944
2012-05,Centro,42102022.449999996,3110426,13.535773701094318,8750057.29,1032920,8.471185851760058
2012-06,Lisboa,51241316.05,3737554,13.709853034899295,10434893.55,1329156,7.850766614302611
2012-07,Algarve,6025923.63,409610,14.711368448035936,1106111.67,132086,8.37417795981406
2012-08,Alentejo,7114841.72,560306,12.698135875753605,1490406.4499999997,212268,7.021343066312396
2012-08,Algarve,6101297.6,438959,13.899470337776421,1097693.36,144502,7.596388700502416
2012-08,Centro,38389750.099999994,3013811,12.737942127094232,7383826.1,1046704,7.05435930310766
2012-08,Lisboa,47224872.830000006,3669952,12.867981060787718,9297883.62,1347319,6.901026126700506
2012-10,Alentejo,7528176.529999999,610989,12.321296340850653,1581620.7300000002,230152,6.872070327435782
2012-10,Norte,48624349.03999999,4146583,11.726365790821019,10016484.89,1505556,6.653013830106619
2012-11,Algarve,5671390.44,407105,13.931026246300096,1051822.66,139480,7.541028534556925
2012-12,Alentejo,6750490.89,542636,12.440182534885263,1488565.75,213702,6.965614500566209
2012-12,Algarve,5600200.48,399633,14.013358456383733,1060742.03,139501,7.603831011964072
2012-12,Norte,44413197.71,3704612,11.988623291723938,9542867.23,1425137,6.696105167433026
2013-01,Alentejo,7311897.7700000005,596377,12.260529446977332,1652571.0,237206,6.966817871386053
2013-01,Algarve,5735990.530000001,422287,13.58315678673509,1135031.22,150168,7.558409381492728
2013-01,Centro,38686864.51,3155776,12.259065443808431,7999196.7,1164016,6.872067651991038
